  PID TTY      STAT   TIME COMMAND
 2458 ?        S      0:00 [fcoe_work/2]
 2459 ?        S      0:00 [fcoe_work/3]
 2460 ?        S<     0:00 [fcoethread/0]
 2461 ?        S<     0:00 [fcoethread/1]
 2462 ?        S<     0:00 [fcoethread/2]
 2463 ?        S<     0:00 [fcoethread/3]
 2464 ?        S      0:00 [bnx2fc]
 2465 ?        S<     0:00 [bnx2fc_l2_threa]
 2466 ?        S<     0:00 [bnx2fc_thread/0]
 2467 ?        S<     0:00 [bnx2fc_thread/1]
 2468 ?        S<     0:00 [bnx2fc_thread/2]
 2469 ?        S<     0:00 [bnx2fc_thread/3]
 2472 ?        Ss     0:10 /usr/sbin/fcoemon --syslog
 2485 ?        S      0:00 [target_completi]
 2486 ?        S      0:00 [target_completi]
 2487 ?        S      0:00 [target_completi]
 2488 ?        S      0:00 [target_completi]
 2489 ?        S      0:00 [LIO_rd_mcp]
 2513 ?        Ss     0:09 dbus-daemon --system
 2523 ?        Ssl    0:03 NetworkManager --pid-file=/var/run/NetworkManager/NetworkManager.pid
 2526 ?        S      0:00 /usr/sbin/modem-manager
 2531 ?        S      0:00 /sbin/dhclient -d -4 -sf /usr/libexec/nm-dhcp-client.action -pf /var/run/dhclient-eth0.pid -lf /var/lib/dhclient/dhclient-ff9295dd-3364-4546-abd1-e4f7a4a460c2-eth0.lease -cf /var/run/nm-dhclient-eth0.conf eth0
 2534 ?        Ss     0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u -f /var/log/wpa_supplicant.log -P /var/run/wpa_supplicant.pid
 2548 ?        S      0:25 avahi-daemon: running [ed3354-07.local]
 2549 ?        Ss     0:00 avahi-daemon: chroot helper
 2578 ?        Ss     0:00 rpc.statd
 2614 ?        S      0:47 [rpciod/0]
 2615 ?        S      0:18 [rpciod/1]
 2616 ?        S      1:04 [rpciod/2]
 2617 ?        S      0:21 [rpciod/3]
 2635 ?        S      0:12 [nfsiod]
 2640 ?        Ss     1:02 rpc.gssd
 2662 ?        Ss     0:00 rpc.idmapd
 2685 ?        Ss     0:00 /usr/sbin/acpid
 2694 ?        Ss     0:07 hald
 2695 ?        S      0:00 hald-runner
 2774 ?        S      0:06 hald-addon-input: Listening on /dev/input/event5 /dev/input/event4 /dev/input/event0 /dev/input/event1 /dev/input/event10
 2783 ?        S      0:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
